lat	long	dbh	bark	moss	epiphytes	yearOfDeath	branches.small	branches.large	branches.huge	ground.contact	top.xsection	bottom.xsection	id
47.554958	-122.250409	31	1	0	0	-1	0	0	0	-1	round	round	df.009
47.555185	-122.2505332	62	1	0	0	-1	0	0	0	-1	round	round	df.010
47.555232	-122.250506	25	1	0	0	-1	0	0	0	-1	round	round	df.011
47.555292	-122.250287	46	1	0	0	-1	0	0	0	-1	round	round	df.012
47.555663	-122.2503771	25	1	0	0	-1	0	0	0	-1	round	round	df.013
47.555345	-122.250194	19	1	0	0	-1	0	0	0	-1	round	round	df.014
47.555848	-122.250872	26	1	0	0	-1	0	0	0	-1	round	round	df.015
47.556812	-122.251826	45	1	0	0	-1	0	0	0	-1	round	round	df.016
47.555057	-122.252316	48	1	0	0	-1	0	0	0	-1	round	round	df.017
47.556937	-122.250766	52	1	0	0	2018 -1	0	0	0	-1	round	round	df.018
47.557247	-122.251254	52	1	0	0	-1	0	0	0	-1	round	round	df.019
47.554582	-122.250449	61	1	0	0	-1	0	0	0	-1	round	round	df.020
47.554563	-122.25049	0	1	0	0	-1	0	0	0	-1	round	round	df.021
47.554122	-122.250352	39	1	0	0	-1	0	0	0	-1	round	round	df.022
47.55846	-122.251971	0	1	0	0	-1	0	0	0	-1	round	round	df.023
47.558787	-122.250994	41	1	0	0	-1	0	0	0	-1	round	round	df.024
47.558855	-122.250952	28	1	0	0	-1	0	0	0	-1	round	round	df.025
47.559058	-122.250842	31	1	0	0	-1	0	0	0	-1	round	round	df.026
47.55913	-122.250886	33	1	0	0	1935 -1	0	0	0	-1	round	round	df.027
47.558593	-122.2507669	58	1	0	0	-1	0	0	0	-1	round	round	df.028
47.55908	-122.25012	41	1	0	0	-1	0	0	0	-1	round	round	df.029
47.559278	-122.249986	48	1	0	0	-1	0	0	0	-1	round	round	df.030
47.559462	-122.249671	52	1	0	0	-1	0	0	0	-1	round	round	df.031
47.55964	-122.249679	58	0.9	8	1	NA	0	2	3	1	round	round	df.043
47.559692	-122.249824	38	0.9	8	2	NA	0	0	2	0.8	oval	round	df.044
47.559802	-122.249786	24	0.5	5	3	NA	0	3	0	0.8	oval	oval	df.045
47.559828	-122.250427	36	0.2	7	3	NA	0	0	0	1	oval	oval	df.046,47,48
47.559942	-122.2500431	30	0.4	7	1	NA	0	5	0	0.95	oval	round	df.049
47.55955	-122.250427	72	1	5	0	2010	2	5	20	0.95	round	round	df.050
