lat	long	dbh	bark	epiphytes	yearOfDeath	id
47.554958	-122.250409	31	0.1	0	NA	df.009
47.555185	-122.2505332	62	0.3	4	NA	df.010
47.555232	-122.250506	25	0.7	7	NA	df.011
47.555292	-122.250287	46	0.8	2	NA	df.012
47.555663	-122.2503771	25	0.95	0	NA	df.013
47.555345	-122.250194	19	0.15	0	NA	df.014
47.555848	-122.250872	26	0.1	0	NA	df.015
47.556812	-122.251826	45	1	0	NA	df.016
47.555057	-122.252316	48	0.95	7	NA	df.017
47.556937	-122.250766	52	1	0	2018	df.018
47.557247	-122.251254	52	0.7	4	NA	df.019
47.554582	-122.250449	61	0.4	8	NA	df.020
47.554563	-122.25049	0	0.6	6	NA	df.021
47.554122	-122.250352	39	0	9	NA	df.022
47.55846	-122.251971	0	1	1	NA	df.023
47.558787	-122.250994	41	0.5	8	NA	df.024
47.558855	-122.250952	28	0.45	8	NA	df.025
47.559058	-122.250842	31	0.2	9	NA	df.026
47.55913	-122.250886	33	0.2	9	1935	df.027
