id	lat	long
df.009	47.554958	-122.250409
df.010	47.555185	-122.2505332
df.011	47.555232	-122.250506
df.012	47.555292	-122.250287
df.013	47.555663	-122.2503771
df.014	47.555345	-122.250194
df.015	47.555848	-122.250872
df.016	47.556812	-122.251826
df.017	47.555057	-122.252316
df.018	47.556937	-122.250766
df.019	47.557247	-122.251254
df.020	47.554582	-122.250449
df.021	47.554563	-122.25049
df.022	47.554122	-122.250352
df.023	47.55846	-122.251971
df.024	47.558787	-122.250994
df.025	47.558855	-122.250952
df.026	47.559058	-122.250842
df.027	47.55913	-122.250886
df.028	47.558593	-122.2507669
df.029	47.55908	-122.25012
df.030	47.559278	-122.249986
df.031	47.559462	-122.249671
